Tanggal;Tn;Tx;RR;ff_x
20/09/2021;22,2;32,4;17,5;5
21/09/2021;;32,5;5;10
22/09/2021;20,4;32,7;24,5;5
23/09/2021;22,8;32;0;5
24/09/2021;21;32,9;0;5
25/09/2021;22,4;32,8;8888;4
26/09/2021;22,1;32,8;13;6
27/09/2021;;32,3;2,3;4
28/09/2021;24;32,2;35,4;3
29/09/2021;21,8;33,2;1;6
30/09/2021;21,4;33,4;43,7;7
01/10/2021;21,2;32,2;30;4
02/10/2021;23;31;6;4
03/10/2021;21;33,4;44,5;3
04/10/2021;22;32,4;38,7;8
05/10/2021;20,9;33,4;;3
06/10/2021;21;32,6;1;4
07/10/2021;21,6;32,8;;5
08/10/2021;21,4;33;;5
09/10/2021;22,4;33,8;0,1;3
10/10/2021;22,5;33,8;2,4;4
11/10/2021;21,6;33,3;27,8;5
12/10/2021;21,2;33,4;1,5;4
13/10/2021;23;33,3;8888;3
14/10/2021;22,2;32,6;0,1;4
15/10/2021;24;33,7;8888;4
16/10/2021;22,4;33,5;1,5;4
17/10/2021;;34,1;8888;8
18/10/2021;21,8;28,8;42,5;10
19/10/2021;20,8;32;10,5;8
20/10/2021;21;32,4;62,5;3
21/10/2021;21;32;27,8;4
22/10/2021;21,8;32,6;24,5;5
23/10/2021;22;32,2;14,2;2
24/10/2021;;33,6;;18
25/10/2021;22,8;33,6;43;11
26/10/2021;21,2;33,7;29,5;12
27/10/2021;22,2;30,6;25,2;4
28/10/2021;23,2;31,8;6,5;6
29/10/2021;21,8;32,1;31,5;5
30/10/2021;21,3;33,4;20,5;3
31/10/2021;22,2;32,9;74,6;9
01/11/2021;;;24,5;4
02/11/2021;21,9;32,2;;11
03/11/2021;21,8;32,8;4,6;5
04/11/2021;22,4;31,9;17;6
05/11/2021;22,2;30,4;25,5;4
06/11/2021;;32,8;2;4
07/11/2021;22,8;31,4;29,5;11
08/11/2021;22;31,9;11;4
09/11/2021;23,2;31,6;;8
10/11/2021;24;31,4;0;3
11/11/2021;;29,5;6,3;2
12/11/2021;22,8;32;8888;3
13/11/2021;22,8;31,6;2,7;7
14/11/2021;22,8;32,2;0;6
15/11/2021;24,2;28,8;2,5;3
16/11/2021;22;32,5;;3
17/11/2021;22,6;32,2;0;4
18/11/2021;23,2;32,4;0,3;4
19/11/2021;23;30,8;0,8;5
20/11/2021;22;31,4;1;4
21/11/2021;22,8;30,9;0,3;10
22/11/2021;23,2;32,2;2,7;6
23/11/2021;23;29,4;0,8;5
24/11/2021;22;31,8;0,3;2
25/11/2021;22,6;34,1;;7
26/11/2021;22,8;;11;5
27/11/2021;23;30,8;8888;9
28/11/2021;22,4;31,8;28,1;8
29/11/2021;21,9;32,1;3,7;4
30/11/2021;23,6;32,1;1,3;3
01/12/2021;23,4;32,7;8888;6
02/12/2021;21,4;;;4
03/12/2021;21,5;32,3;;2
04/12/2021;21,6;28,8;;2
05/12/2021;21,8;28,9;3,5;5
06/12/2021;21,4;30,4;3,8;5
07/12/2021;22;27,6;24,9;4
08/12/2021;22,5;31;14,5;5
09/12/2021;22,1;31,7;4;4
10/12/2021;22,2;31,4;2,5;3
11/12/2021;22;31;28,7;4
12/12/2021;22;31,6;7,5;6
13/12/2021;21,2;32,7;23,5;5
14/12/2021;24;32,1;;4
15/12/2021;23;32,5;8888;11
16/12/2021;23;33;29,9;5
17/12/2021;22,6;32;9,4;3
18/12/2021;22;34,2;7,1;8
19/12/2021;23;32,9;0,5;4
20/12/2021;22,5;31,9;2;4
21/12/2021;22,4;29,6;15,1;4
22/12/2021;21,4;32,2;6,8;3
23/12/2021;22,4;31,4;;4
24/12/2021;22,5;32,6;0,8;3
25/12/2021;;32,1;39,6;7
26/12/2021;20,4;31,2;21,3;7
27/12/2021;22,2;31,8;8888;4
28/12/2021;21,8;30,4;18,7;4
29/12/2021;22,2;31;1,5;3
30/12/2021;22,4;31;;3
31/12/2021;22,2;32,4;13,5;4
01/01/2022;;31,8;;3
02/01/2022;21,4;32;0;4
03/01/2022;20,7;33,4;;5
04/01/2022;;34,1;;4
05/01/2022;22,4;33,5;0;4
06/01/2022;22,4;32,2;0;4
07/01/2022;21,9;32,6;6,5;3
08/01/2022;21,5;31,6;13,9;4
09/01/2022;21,4;32,1;0;7
10/01/2022;21,8;31,4;0;5
11/01/2022;22,6;31;1;5
12/01/2022;22;29,4;0,8;4
13/01/2022;22;29,8;19;5
14/01/2022;22,3;29,5;5,4;4
15/01/2022;22,4;29,3;4,1;3
16/01/2022;21,8;29,6;3,8;6
17/01/2022;21,6;31,4;;5
18/01/2022;22,8;28,8;4,2;4
19/01/2022;22,4;29,5;21,1;4
20/01/2022;22,2;28,2;11;4
21/01/2022;20,6;31,2;1,1;10
22/01/2022;22,5;30,8;0,5;4
23/01/2022;22,3;32,2;0,2;9
24/01/2022;21,5;32,9;;10
25/01/2022;21,6;31,4;4,5;8
26/01/2022;23,4;30,6;3,8;6
27/01/2022;21,6;31;5,2;3
28/01/2022;;32;;3
29/01/2022;22,3;32,3;0,5;4
30/01/2022;22,2;32,4;0;7
31/01/2022;21,8;32,4;8888;6
01/02/2022;22,4;33,4;1;7
02/02/2022;23,2;29,8;8888;3
03/02/2022;21,5;31,7;8888;5
04/02/2022;23;;0;5
05/02/2022;21,8;28,4;15,8;7
06/02/2022;22,6;29,4;7,2;4
07/02/2022;22,5;29,3;13,6;3
08/02/2022;22,4;28,4;;2
09/02/2022;21,4;30;4,8;5
10/02/2022;22,8;29,6;0,6;9
11/02/2022;20,6;33,6;;4
12/02/2022;24,2;30;;4
13/02/2022;22,3;28,9;0,2;2
14/02/2022;21,6;30;0,3;2
15/02/2022;22,2;33,4;1;6
16/02/2022;21,9;32,1;0,2;4
17/02/2022;21,8;31,5;13,6;7
18/02/2022;22,3;29,8;3,7;11
19/02/2022;21,1;31,4;31;3
20/02/2022;22,9;30,2;8888;6
21/02/2022;21,4;32;13;4
22/02/2022;22,4;31,6;17,4;7
23/02/2022;22,4;32;;5
24/02/2022;21;32,4;3,5;4
25/02/2022;22;30,4;0,4;6
26/02/2022;21,6;29,6;4,1;8
27/02/2022;22,5;30,4;13,2;5
28/02/2022;21,8;30,3;1,2;3
01/03/2022;22,4;29;4,8;4
02/03/2022;21,8;31,6;2;3
03/03/2022;22,7;32,4;8888;4
04/03/2022;22,4;31,6;0,8;3
05/03/2022;22,4;32,3;;10
06/03/2022;22,2;31,7;4;8
07/03/2022;22;30,1;2,7;3
08/03/2022;22;32;8888;2
09/03/2022;22,1;32,4;14,2;6
10/03/2022;21,5;32,9;23,4;10
11/03/2022;22,4;32,4;1,5;6
12/03/2022;;32;1,8;7
13/03/2022;22,6;31,8;0,8;8
14/03/2022;22,4;33,5;;6
15/03/2022;23;29,7;6;5
16/03/2022;21,6;;4,1;5
17/03/2022;23;30,8;;3
18/03/2022;22,9;31,8;0;7
19/03/2022;;31,2;24;4
20/03/2022;22,3;33,6;;7
21/03/2022;22,2;;8888;3
22/03/2022;21,8;;11;4
23/03/2022;21,5;31,6;;5
24/03/2022;20,9;;6,4;3
25/03/2022;21,8;32,6;0;3
26/03/2022;23,3;30;;6
27/03/2022;21,6;32,8;2,8;7
28/03/2022;21,4;32,4;1,8;5
29/03/2022;20,9;32,4;;3
30/03/2022;21,6;32,9;;3
31/03/2022;22,6;33,5;0;5
01/04/2022;22,2;31;1;3
02/04/2022;23,5;33,8;0;4
03/04/2022;23,1;32,3;;4
04/04/2022;22,4;33,5;4,4;6
05/04/2022;22,6;32,5;0;5
06/04/2022;21,2;33,4;8,5;3
07/04/2022;21,6;33;12;3
08/04/2022;;32,9;;8
09/04/2022;22;32,7;6;7
10/04/2022;22,4;32,8;0,7;3
11/04/2022;23,4;32,6;4;2
12/04/2022;22,8;31,8;4,8;3
13/04/2022;22,2;32,6;0,3;4
14/04/2022;;32,9;86,3;12
15/04/2022;21,6;33,4;39,2;4
16/04/2022;22,8;33;22,5;4
17/04/2022;22,2;32,8;0,3;3
18/04/2022;24,3;33;;7
19/04/2022;21,5;32;51,3;8
20/04/2022;22,2;32;0,5;3
21/04/2022;23,4;29;;2
22/04/2022;;28,8;2;2
23/04/2022;21,8;32,5;9;4
24/04/2022;23;33,3;0,7;3
25/04/2022;22,4;34,1;0;4
26/04/2022;22,8;33,2;26,5;4
27/04/2022;;32;;6
28/04/2022;20,7;31,4;36,6;4
29/04/2022;23;31,8;8888;4
30/04/2022;22,4;30,5;0;3
01/05/2022;22,8;32;8888;2
02/05/2022;22,3;31,5;8,2;2
03/05/2022;21;33,1;19,3;6
04/05/2022;23,3;32,4;;8
05/05/2022;21,4;33,1;25,2;3
06/05/2022;23;33,4;1;4
07/05/2022;;33,1;;3
08/05/2022;23,2;34,7;;3
09/05/2022;24,2;32,8;;4
10/05/2022;22,8;32,6;6,1;3
11/05/2022;23,4;32,4;3;4
12/05/2022;23,8;32,7;8888;5
13/05/2022;23,7;33,7;8888;4
14/05/2022;23;33;;3
15/05/2022;23;33,4;5,9;5
16/05/2022;23,2;34;8888;4
17/05/2022;23,4;32,8;10;3
18/05/2022;22,5;32,3;34,5;5
19/05/2022;22,5;32,4;12,6;3
20/05/2022;22,3;32,2;0,5;4
21/05/2022;22,4;32,6;31,9;4
22/05/2022;22,6;30,1;2,7;3
23/05/2022;22,7;32,2;;8
24/05/2022;21,9;31,6;;5
25/05/2022;22;32,4;;4
26/05/2022;22,8;29,8;8888;3
27/05/2022;21,1;33;;3
28/05/2022;;;48,5;3
29/05/2022;;30,7;12,6;6
30/05/2022;21,6;28,7;8888;3
31/05/2022;21,4;31,3;4,5;4
01/06/2022;21,1;32,6;0,8;3
02/06/2022;22,7;32,2;8888;5
03/06/2022;21,6;32,3;25,4;5
04/06/2022;21,4;33;3,8;3
05/06/2022;22;32,4;41,3;3
06/06/2022;21,3;30,7;26;4
07/06/2022;20,5;31,6;71,4;7
08/06/2022;22,5;31,8;8888;4
09/06/2022;22;30,6;0;5
10/06/2022;20,6;33;130,4;5
11/06/2022;22;30,8;24,3;3
12/06/2022;21,8;31,7;7,5;7
13/06/2022;22,5;31,6;5,2;8
14/06/2022;;31;7,5;5
15/06/2022;22,3;30,2;8888;3
16/06/2022;;30,4;1,5;2
17/06/2022;22,1;30;0;6
18/06/2022;20;30,7;31,5;3
